1491452312017,18.0,12.0,13.0,14.0,3.0,13.0
1491452316034,19.0,13.0,13.0,15.0,3.0,13.0
1491452329302,18.0,12.0,11.0,14.0,3.0,11.0
1491452333306,19.0,13.0,11.0,15.0,3.0,11.0
1491452335307,19.0,13.0,11.0,15.0,3.0,11.0
1491452341358,20.0,14.0,12.0,16.0,4.0,12.0
1491452343367,19.0,13.0,12.0,15.0,4.0,12.0
1491452345376,20.0,14.0,13.0,16.0,5.0,13.0
1491452347393,18.0,13.0,13.0,14.0,4.0,13.0
1491452349394,19.0,13.0,13.0,15.0,4.0,13.0
1491452351396,19.0,13.0,13.0,15.0,4.0,13.0
1491452359496,20.0,14.0,14.0,16.0,5.0,14.0
1491452361508,19.0,13.0,14.0,15.0,5.0,14.0
1491452363523,20.0,14.0,15.0,16.0,6.0,15.0
1491452365540,18.0,12.0,15.0,14.0,5.0,15.0
1491452367541,19.0,13.0,15.0,15.0,5.0,15.0
1491452443881,28.0,22.0,2.0,24.0,12.0,2.0
