Level 1,1561176495266,14.0,14.0,14.0,14.0,14.0,14.0
Level 1,1561176584826,11.0,11.0,11.0,11.0,11.0,11.0
Level 1,1561176592836,11.0,11.0,11.0,11.0,11.0,11.0
Level 1,1561176594840,11.0,11.0,11.0,11.0,11.0,11.0
Level 1,1561176604866,12.0,12.0,12.0,12.0,12.0,12.0
Level 1,1561176606869,12.0,12.0,12.0,12.0,12.0,12.0
Level 1,1561176608870,13.0,13.0,13.0,13.0,13.0,13.0
Level 1,1561176610875,14.0,14.0,14.0,14.0,14.0,14.0
Level 1,1561176612876,14.0,14.0,14.0,14.0,14.0,14.0
Level 1,1561176614879,14.0,14.0,14.0,14.0,14.0,14.0
Level 1,1561176616885,14.0,14.0,14.0,14.0,14.0,14.0
Level 1,1561176618889,14.0,14.0,14.0,14.0,14.0,14.0
Level 1,1561176673740,11.0,11.0,11.0,11.0,11.0,11.0
Level 1,1561176677746,11.0,11.0,11.0,11.0,11.0,11.0
Level 1,1561176685756,12.0,12.0,12.0,12.0,12.0,12.0
Level 1,1561176687804,13.0,13.0,13.0,13.0,13.0,13.0
Level 1,1561176689807,13.0,13.0,13.0,13.0,13.0,13.0
Level 1,1561176693812,13.0,13.0,13.0,13.0,13.0,13.0
Level 1,1561176701850,14.0,14.0,14.0,14.0,14.0,14.0
Level 1,1561176703868,14.0,14.0,14.0,14.0,14.0,14.0
Level 1,1561176705883,14.0,14.0,14.0,14.0,14.0,14.0
Level 1,1561176968141,14.0,14.0,14.0,14.0,14.0,14.0
Level 1,1561176985622,11.0,11.0,11.0,11.0,11.0,11.0
Level 1,1561176993631,11.0,11.0,11.0,11.0,11.0,11.0
Level 1,1561176995633,11.0,11.0,11.0,11.0,11.0,11.0
Level 1,1561177023798,12.0,12.0,12.0,12.0,12.0,12.0
Level 1,1561177025800,12.0,12.0,12.0,12.0,12.0,12.0
Level 1,1561177027857,13.0,13.0,13.0,13.0,13.0,13.0
Level 1,1561177031881,14.0,14.0,14.0,14.0,14.0,14.0
Level 1,1561177033896,14.0,14.0,14.0,14.0,14.0,14.0
Level 1,1561177037904,14.0,14.0,14.0,14.0,14.0,14.0
Level 1,1561177043919,14.0,14.0,14.0,14.0,14.0,14.0
