Level 1,1561175392492,11.0,11.0,11.0,11.0,11.0,11.0
Level 1,1561175400501,12.0,12.0,12.0,12.0,12.0,12.0
Level 1,1561175404506,12.0,12.0,12.0,12.0,12.0,12.0
Level 1,1561175410521,12.0,12.0,12.0,12.0,12.0,12.0
Level 1,1561175412523,12.0,12.0,12.0,12.0,12.0,12.0
Level 1,1561175442649,13.0,13.0,13.0,13.0,13.0,13.0
Level 1,1561175446663,13.0,13.0,13.0,13.0,13.0,13.0
Level 1,1561175450681,13.0,13.0,13.0,13.0,13.0,13.0
Level 1,1561175456728,14.0,14.0,14.0,14.0,14.0,14.0
Level 1,1561175458744,14.0,14.0,14.0,14.0,14.0,14.0
Level 1,1561175474796,14.0,14.0,14.0,14.0,14.0,14.0
Level 1,1561175478811,14.0,14.0,14.0,14.0,14.0,14.0
Level 1,1561175490892,14.0,14.0,14.0,14.0,14.0,14.0
Level 1,1561175492906,14.0,14.0,14.0,14.0,14.0,14.0
Level 1,1561175500952,15.0,15.0,15.0,15.0,15.0,15.0
Level 1,1561175502958,15.0,15.0,15.0,15.0,15.0,15.0
Level 1,1561175504972,15.0,15.0,15.0,15.0,15.0,15.0
Level 1,1561175506983,15.0,15.0,15.0,15.0,15.0,15.0
Level 1,1561175531107,15.0,15.0,15.0,15.0,15.0,15.0
Level 1,1561175623799,11.0,11.0,11.0,11.0,11.0,11.0
Level 1,1561175627805,12.0,12.0,12.0,12.0,12.0,12.0
Level 1,1561175629819,12.0,12.0,12.0,12.0,12.0,12.0
Level 1,1561175633826,12.0,12.0,12.0,12.0,12.0,12.0
Level 1,1561175637854,13.0,13.0,13.0,13.0,13.0,13.0
Level 1,1561175639861,13.0,13.0,13.0,13.0,13.0,13.0
Level 1,1561175643876,13.0,13.0,13.0,13.0,13.0,13.0
Level 1,1561175651945,14.0,14.0,14.0,14.0,14.0,14.0
Level 1,1561175676654,11.0,11.0,11.0,11.0,11.0,11.0
Level 1,1561175684671,11.0,11.0,11.0,11.0,11.0,11.0
Level 1,1561175688698,12.0,12.0,12.0,12.0,12.0,12.0
Level 1,1561175690710,12.0,12.0,12.0,12.0,12.0,12.0
Level 1,1561175706789,12.0,12.0,12.0,12.0,12.0,12.0
Level 1,1561175714836,13.0,13.0,13.0,13.0,13.0,13.0
Level 1,1561175716852,13.0,13.0,13.0,13.0,13.0,13.0
Level 1,1561175722868,13.0,13.0,13.0,13.0,13.0,13.0
Level 1,1561175730901,14.0,14.0,14.0,14.0,14.0,14.0
Level 1,1561175734934,14.0,14.0,14.0,14.0,14.0,14.0
Level 1,1561175827421,11.0,11.0,11.0,11.0,11.0,11.0
Level 1,1561175833431,11.0,11.0,11.0,11.0,11.0,11.0
Level 1,1561175839464,12.0,12.0,12.0,12.0,12.0,12.0
Level 1,1561175841481,12.0,12.0,12.0,12.0,12.0,12.0
Level 1,1561175847496,12.0,12.0,12.0,12.0,12.0,12.0
Level 1,1561175851502,13.0,13.0,13.0,13.0,13.0,13.0
Level 1,1561175871510,11.0,11.0,11.0,11.0,11.0,11.0
Level 1,1561175873530,12.0,12.0,12.0,12.0,12.0,12.0
Level 1,1561175875556,11.0,11.0,11.0,11.0,11.0,11.0
Level 1,1561175877594,12.0,12.0,12.0,12.0,12.0,12.0
Level 1,1561175879609,12.0,12.0,12.0,12.0,12.0,12.0
Level 1,1561175881623,12.0,12.0,12.0,12.0,12.0,12.0
Level 1,1561175887641,13.0,13.0,13.0,13.0,13.0,13.0
Level 1,1561175889643,13.0,13.0,13.0,13.0,13.0,13.0
Level 1,1561175893689,13.0,13.0,13.0,13.0,13.0,13.0
Level 1,1561175897708,13.0,13.0,13.0,13.0,13.0,13.0
Level 1,1561175899731,14.0,14.0,14.0,14.0,14.0,14.0
Level 1,1561175901738,14.0,14.0,14.0,14.0,14.0,14.0
NA,1561175905755,2.0,2.0,2.0,2.0,2.0,2.0
NA,1561175923836,2.0,2.0,2.0,2.0,2.0,2.0
Level 1,1561175955016,11.0,11.0,11.0,11.0,11.0,11.0
Level 1,1561175956987,11.0,11.0,11.0,11.0,11.0,11.0
Level 1,1561175958988,11.0,11.0,11.0,11.0,11.0,11.0
Level 1,1561175960997,11.0,11.0,11.0,11.0,11.0,11.0
Level 1,1561175967040,12.0,12.0,12.0,12.0,12.0,12.0
Level 1,1561175969046,12.0,12.0,12.0,12.0,12.0,12.0
Level 1,1561175973063,12.0,12.0,12.0,12.0,12.0,12.0
Level 1,1561175975078,13.0,13.0,13.0,13.0,13.0,13.0
Level 1,1561175977081,13.0,13.0,13.0,13.0,13.0,13.0
Level 1,1561175983116,14.0,14.0,14.0,14.0,14.0,14.0
Level 1,1561175985117,14.0,14.0,14.0,14.0,14.0,14.0
Level 1,1561175993128,14.0,14.0,14.0,14.0,14.0,14.0
Level 1,1561176062784,11.0,11.0,11.0,11.0,11.0,11.0
Level 1,1561176066790,11.0,11.0,11.0,11.0,11.0,11.0
Level 1,1561176068863,12.0,12.0,12.0,12.0,12.0,12.0
Level 1,1561176070879,12.0,12.0,12.0,12.0,12.0,12.0
Level 1,1561176072883,12.0,12.0,12.0,12.0,12.0,12.0
Level 1,1561176076887,13.0,13.0,13.0,13.0,13.0,13.0
Level 1,1561176078894,13.0,13.0,13.0,13.0,13.0,13.0
Level 1,1561176080896,14.0,14.0,14.0,14.0,14.0,14.0
Level 1,1561176082899,14.0,14.0,14.0,14.0,14.0,14.0
Level 1,1561176084904,14.0,14.0,14.0,14.0,14.0,14.0
Level 1,1561176293783,11.0,11.0,11.0,11.0,11.0,11.0
Level 1,1561176299793,11.0,11.0,11.0,11.0,11.0,11.0
Level 1,1561176301804,11.0,11.0,11.0,11.0,11.0,11.0
Level 1,1561176303817,11.0,11.0,11.0,11.0,11.0,11.0
Level 1,1561176305837,12.0,12.0,12.0,12.0,12.0,12.0
Level 1,1561176307846,12.0,12.0,12.0,12.0,12.0,12.0
Level 1,1561176309861,12.0,12.0,12.0,12.0,12.0,12.0
Level 1,1561176313864,13.0,13.0,13.0,13.0,13.0,13.0
Level 1,1561176315867,14.0,14.0,14.0,14.0,14.0,14.0
Level 1,1561176317874,14.0,14.0,14.0,14.0,14.0,14.0
Level 1,1561176319877,14.0,14.0,14.0,14.0,14.0,14.0
Level 1,1561176463053,11.0,11.0,11.0,11.0,11.0,11.0
Level 1,1561176467062,11.0,11.0,11.0,11.0,11.0,11.0
Level 1,1561176471097,12.0,12.0,12.0,12.0,12.0,12.0
Level 1,1561176473106,10.0,10.0,10.0,10.0,10.0,10.0
Level 1,1561176475108,10.0,10.0,10.0,10.0,10.0,10.0
Level 1,1561176477113,12.0,12.0,12.0,12.0,12.0,12.0
Level 1,1561176479153,12.0,12.0,12.0,12.0,12.0,12.0
Level 1,1561176481204,13.0,13.0,13.0,13.0,13.0,13.0
Level 1,1561176483208,13.0,13.0,13.0,13.0,13.0,13.0
Level 1,1561176485225,13.0,13.0,13.0,13.0,13.0,13.0
Level 1,1561176489228,14.0,14.0,14.0,14.0,14.0,14.0
Level 1,1561176491241,14.0,14.0,14.0,14.0,14.0,14.0
Level 1,1561176493264,14.0,14.0,14.0,14.0,14.0,14.0
