Level 1,1491452885344,[13.0\n, 13.0\n, 13.0\n, 13.0\n, 13.0\n, 13.0\n]
Level 1,1491452887359,[13.0\n, 13.0\n, 13.0\n, 13.0\n, 13.0\n, 13.0\n]
Level 1,1491452889375,[13.0\n, 13.0\n, 13.0\n, 13.0\n, 13.0\n, 13.0\n]
Level 1,1491452897407,[14.0\n, 14.0\n, 14.0\n, 14.0\n, 14.0\n, 14.0\n]
Level 1,1491452901424,[14.0\n, 14.0\n, 14.0\n, 14.0\n, 14.0\n, 14.0\n]
Level 1,1491452909441,[14.0\n, 14.0\n, 14.0\n, 14.0\n, 14.0\n, 14.0\n]
Level 1,1491452917489,[14.0\n, 14.0\n, 14.0\n, 14.0\n, 14.0\n, 14.0\n]
Level 1,1491452919505,[14.0\n, 14.0\n, 14.0\n, 14.0\n, 14.0\n, 14.0\n]
Level 1,1491452927536,[14.0\n, 14.0\n, 14.0\n, 14.0\n, 14.0\n, 14.0\n]
Level 1,1491452929538,[14.0\n, 14.0\n, 14.0\n, 14.0\n, 14.0\n, 14.0\n]
Level 1,1491452931553,[14.0\n, 14.0\n, 14.0\n, 14.0\n, 14.0\n, 14.0\n]
Level 1,1491452937582,[14.0\n, 14.0\n, 14.0\n, 14.0\n, 14.0\n, 14.0\n]
Level 1,1491452939589,[14.0\n, 14.0\n, 14.0\n, 14.0\n, 14.0\n, 14.0\n]
Level 1,1491452941603,[14.0\n, 14.0\n, 14.0\n, 14.0\n, 14.0\n, 14.0\n]
Level 1,1491452943604,[14.0\n, 14.0\n, 14.0\n, 14.0\n, 14.0\n, 14.0\n]
Level 1,1491452951622,[14.0\n, 14.0\n, 14.0\n, 14.0\n, 14.0\n, 14.0\n]
Level 1,1491452969686,[14.0\n, 14.0\n, 14.0\n, 14.0\n, 14.0\n, 14.0\n]
Level 1,1491452971691,[14.0\n, 14.0\n, 14.0\n, 14.0\n, 14.0\n, 14.0\n]
Level 1,1491452983734,[14.0\n, 14.0\n, 14.0\n, 14.0\n, 14.0\n, 14.0\n]
Level 1,1491452985752,[14.0\n, 14.0\n, 14.0\n, 14.0\n, 14.0\n, 14.0\n]
Level 1,1491452999833,[14.0\n, 14.0\n, 14.0\n, 14.0\n, 14.0\n, 14.0\n]
Level 1,1491453001848,[14.0\n, 14.0\n, 14.0\n, 14.0\n, 14.0\n, 14.0\n]
Level 1,1491453005866,[14.0\n, 14.0\n, 14.0\n, 14.0\n, 14.0\n, 14.0\n]
Level 1,1491453007867,[14.0\n, 14.0\n, 14.0\n, 14.0\n, 14.0\n, 14.0\n]
Level 1,1491453009868,[14.0\n, 14.0\n, 14.0\n, 14.0\n, 14.0\n, 14.0\n]
Level 1,1491453017898,[14.0\n, 14.0\n, 14.0\n, 14.0\n, 14.0\n, 14.0\n]
Level 1,1491453019900,[14.0\n, 14.0\n, 14.0\n, 14.0\n, 14.0\n, 14.0\n]
Level 1,1491453021913,[14.0\n, 14.0\n, 14.0\n, 14.0\n, 14.0\n, 14.0\n]
Level 1,1491453027949,[14.0\n, 14.0\n, 14.0\n, 14.0\n, 14.0\n, 14.0\n]
Level 1,1491453029967,[14.0\n, 14.0\n, 14.0\n, 14.0\n, 14.0\n, 14.0\n]
Level 1,1491453031978,[14.0\n, 14.0\n, 14.0\n, 14.0\n, 14.0\n, 14.0\n]
Level 1,1491453038011,[14.0\n, 14.0\n, 14.0\n, 14.0\n, 14.0\n, 14.0\n]
Level 1,1491453040013,[14.0\n, 14.0\n, 14.0\n, 14.0\n, 14.0\n, 14.0\n]
Level 1,1491453042014,[14.0\n, 14.0\n, 14.0\n, 14.0\n, 14.0\n, 14.0\n]
Level 1,1491453050044,[14.0\n, 14.0\n, 14.0\n, 14.0\n, 14.0\n, 14.0\n]
Level 1,1491453058065,[14.0\n, 14.0\n, 14.0\n, 14.0\n, 14.0\n, 14.0\n]
Level 1,1491453062078,[14.0\n, 14.0\n, 14.0\n, 14.0\n, 14.0\n, 14.0\n]
Level 1,1491453066104,[14.0\n, 14.0\n, 14.0\n, 14.0\n, 14.0\n, 14.0\n]
Level 1,1491453070126,[14.0\n, 14.0\n, 14.0\n, 14.0\n, 14.0\n, 14.0\n]
Level 1,1491453076142,[14.0\n, 14.0\n, 14.0\n, 14.0\n, 14.0\n, 14.0\n]
Level 1,1491453078159,[14.0\n, 14.0\n, 14.0\n, 14.0\n, 14.0\n, 14.0\n]
Level 1,1491453080174,[14.0\n, 14.0\n, 14.0\n, 14.0\n, 14.0\n, 14.0\n]
